,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,12-ene,"4,00",1,8,,,,,12-feb,"7,00",4,5,,,,,12-mar,"7,00",9,9,,,,,12-abr,"3,00",5,4,,,,,12-may,"5,00",12,14,,,,,12-jun,"1,00",6,3,,,,,12-jul,"3,00",5,5,,,,,12-ago,"6,00",8,4,,,,,12-sept,"2,00",0,0,,,,,12-oct,"4,00",3,6,,,,,12-nov,"7,00",6,4,3,,,,12-dic,"2,00",0,0,0,0,,,,,,,,,
,13-ene,"5,00",3,4,,,,,13-feb,"1,00",4,3,,,,,13-mar,"1,00",6,1,,,,,13-abr,"4,00",8,2,,,,,13-may,"6,00",9,2,,,,,13-jun,"2,00",4,2,,,,,13-jul,"4,00",7,5,,,,,13-ago,"7,00",7,3,,,,,13-sept,"3,00",0,0,,,,,13-oct,"5,00",0,0,,,,,13-nov,"1,00",4,6,2,,,,13-dic,"3,00",0,0,2,7,,,,,,,,,
,14-ene,"6,00",2,7,,,,,14-feb,"2,00",2,0,,,,,14-mar,"2,00",2,2,,,,,14-abr,"5,00",3,0,,,,,14-may,"7,00",2,0,,,,,14-jun,"3,00",4,0,,,,,14-jul,"5,00",4,3,,,,,14-ago,"1,00",9,0,,,,,14-sept,"4,00",0,0,,,,,14-oct,"6,00",0,0,,,,,14-nov,"2,00",0,0,0,,,,14-dic,"4,00",4,7,1,1,,,,,,,,,
,15-ene,"7,00",7,4,,,,,15-feb,"3,00",6,4,,,,,15-mar,"3,00",2,0,,,,,15-abr,"6,00",8,1,,,,,15-may,"1,00",11,4,,,,,15-jun,"4,00",0,0,,,,,15-jul,"6,00",7,3,,,,,15-ago,"2,00",5,2,,,,,15-sept,"5,00",4,0,,,,,15-oct,"7,00",4,1,,,,,15-nov,"3,00",0,0,0,,,,15-dic,"5,00",0,0,1,0,,,,,,,,,
,16-ene,"1,00",8,2,,,,,16-feb,"4,00",4,0,,,,,16-mar,"4,00",3,2,,,,,16-abr,"7,00",7,2,,,,,16-may,"2,00",0,0,,,,,16-jun,"5,00",15,0,,,,,16-jul,"7,00",17,18,,,,,16-ago,"3,00",8,0,,,,,16-sept,"6,00",0,5,,,,,16-oct,"1,00",7,8,,,,,16-nov,"4,00",6,0,3,,,,16-dic,"6,00",5,7,3,8,,,,,Days so far,365,,,
,17-ene,"2,00",0,1,,,,,17-feb,"5,00",2,4,,,,,17-mar,"5,00",4,0,,,,,17-abr,"1,00",3,3,,,,,17-may,"3,00",3,4,,,,,17-jun,"6,00",11,3,,,,,17-jul,"1,00",13,2,,,,,17-ago,"4,00",3,0,,,,,17-sept,"7,00",7,13,,,,,17-oct,"2,00",0,0,,,,,17-nov,"5,00",8,4,1,,,,17-dic,"7,00",7,3,1,5,,,,,,,,,
,18-ene,"3,00",0,0,,,,,18-feb,"6,00",3,1,,,,,18-mar,"6,00",8,13,,,,,18-abr,"2,00",6,5,,,,,18-may,"4,00",4,2,,,,,18-jun,"7,00",13,6,,,,,18-jul,"2,00",2,2,,,,,18-ago,"5,00",8,0,,,,,18-sept,"1,00",3,3,,,,,18-oct,"3,00",3,0,,,,,18-nov,"6,00",10,6,1,,,,18-dic,"1,00",0,5,2,2,,,,,,,,,
,19-ene,"4,00",2,0,,,,,19-feb,"7,00",8,5,,,,,19-mar,"7,00",9,0,,,,,19-abr,"3,00",0,0,,,,,19-may,"5,00",3,5,,,,,19-jun,"1,00",0,4,,,,,19-jul,"3,00",3,3,,,,,19-ago,"6,00",12,2,,,,,19-sept,"2,00",0,0,,,,,19-oct,"4,00",0,0,,,,,19-nov,"7,00",5,4,3,11,,,19-dic,"2,00",0,0,0,0,,,,,,,,,
,20-ene,"5,00",2,3,,,,,20-feb,"1,00",6,0,,,,,20-mar,"1,00",11,2,,,,,20-abr,"4,00",2,0,,,,,20-may,"6,00",16,2,,,,,20-jun,"2,00",2,0,,,,,20-jul,"4,00",7,0,,,,,20-ago,"7,00",10,4,,,,,20-sept,"3,00",0,0,,,,,20-oct,"5,00",0,0,,,,,20-nov,"1,00",5,1,3,4,,,20-dic,"3,00",0,0,0,0,,,,,,,,,
,21-ene,"6,00",5,0,,,,,21-feb,"2,00",2,0,,,,,21-mar,"2,00",4,0,,,,,21-abr,"5,00",3,0,,,,,21-may,"7,00",8,0,,,,,21-jun,"3,00",1,0,,,,,21-jul,"5,00",3,2,,,,,21-ago,"1,00",7,6,,,,,21-sept,"4,00",0,0,,,,,21-oct,"6,00",2,2,,,,,21-nov,"2,00",0,1,2,0,,,21-dic,"4,00",0,3,4,3,,,,,,,,,
