,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,% liderazgo,,"77,3%","72,7%","0,0%","0,0%","0,0%",,% liderazgo,,"81,8%","18,2%","0,0%","0,0%","0,0%",,% liderazgo,,"92,3%","7,7%","0,0%","0,0%","0,0%",,% liderazgo,,"38,7%","19,4%","0,0%","0,0%","0,0%",,% liderazgo,,"77,4%","58,1%","0,0%","0,0%","0,0%",,% liderazgo,,"35,5%","29,0%","0,0%","0,0%","0,0%",,% liderazgo,,"61,3%","35,5%","0,0%","0,0%","0,0%",,% liderazgo,,"90,3%","45,2%","0,0%","0,0%","0,0%",,% liderazgo,,"25,8%","12,9%","0,0%","0,0%","0,0%",,% liderazgo,,"9,7%","0,0%","0,0%","0,0%","0,0%",,% liderazgo,,"22,6%","45,2%","12,9%","16,1%","0,0%",,% liderazgo,,"22,6%","6,5%","22,6%","51,6%","0,0%",,% liderazgo,"0,2%","0,2%","0,2%","0,2%","0,3%",
,Miércoles,,6,10,0,0,0,,Miércoles,,13,0,0,0,0,,Miércoles,,15,9,0,0,0,,Miércoles,,18,13,0,0,0,,Miércoles,,14,6,0,0,0,,Miércoles,,11,10,0,0,0,,Miércoles,,35,13,0,0,0,,Miércoles,,29,9,0,0,0,,Miércoles,,4,4,0,0,0,,Miércoles,,7,6,0,0,0,,Miércoles,,17,6,15,4,0,,Miércoles,,12,10,10,7,0,,Miércoles,313,181,96,25,11,0
,Ø Miércoles,,"1,5","2,5",0,0,0,,Ø Miércoles,,"3,25",0,0,0,0,,Ø Miércoles,,3,"1,8",0,0,0,,Ø Miércoles,,"4,5","3,25",0,0,0,,Ø Miércoles,,"3,5","1,5",0,0,0,,Ø Miércoles,,"2,2",2,0,0,0,,Ø Miércoles,,"8,75","3,25",0,0,0,,Ø Miércoles,,"5,8","1,8",0,0,0,,Ø Miércoles,,1,1,0,0,0,,Ø Miércoles,,"1,75","1,5",0,0,0,,Ø Miércoles,,"3,4","1,2",3,"0,8",0,,Ø Miércoles,,3,"2,5","2,5","1,75",0,,Ø Miércoles,"600,00%","3,47","1,84","0,48","0,21","0,00"
,% Miercoles,,"4,4%","10,4%",,,,,% Miercoles,,"11,4%","0,0%",,,,,% Miercoles,,"11,0%","13,6%",,,,,% Miercoles,,"12,6%","26,0%",,,,,% Miercoles,,"8,5%","6,7%",,,,,% Miercoles,,"7,0%","12,2%",,,,,% Miercoles,,"16,1%","10,7%",,,,,% Miercoles,,"12,7%","12,7%",,,,,% Miercoles,,"4,4%","4,4%",,,,,% Miercoles,,"9,9%","10,2%",,,,,% Miercoles,,"17,7%","6,6%","27,8%","10,0%",,,% Miercoles,,"12,8%","11,5%","13,9%","6,9%",,,% Miercoles,"10,9%","11,0%","10,1%","19,8%","7,8%",
,% liderazgo,,"46,2%","76,9%","0,0%","0,0%","0,0%",,% liderazgo,,"100,0%","0,0%","0,0%","0,0%","0,0%",,% liderazgo,,"62,5%","37,5%","0,0%","0,0%","0,0%",,% liderazgo,,"32,7%","23,6%","0,0%","0,0%","0,0%",,% liderazgo,,"25,5%","10,9%","0,0%","0,0%","0,0%",,% liderazgo,,"20,0%","18,2%","0,0%","0,0%","0,0%",,% liderazgo,,"63,6%","23,6%","0,0%","0,0%","0,0%",,% liderazgo,,"52,7%","16,4%","0,0%","0,0%","0,0%",,% liderazgo,,"7,3%","7,3%","0,0%","0,0%","0,0%",,% liderazgo,,"12,7%","10,9%","0,0%","0,0%","0,0%",,% liderazgo,,"30,9%","10,9%","27,3%","7,3%","0,0%",,% liderazgo,,"21,8%","18,2%","18,2%","12,7%","0,0%",,% liderazgo,"0,2%","0,2%","0,2%","0,4%","0,1%",
,Jueves,,14,11,0,0,0,,Jueves,,14,4,0,0,0,,Jueves,,21,9,0,0,0,,Jueves,,12,1,0,0,0,,Jueves,,22,19,0,0,0,,Jueves,,31,15,0,0,0,,Jueves,,16,11,0,0,0,,Jueves,,30,3,0,0,0,,Jueves,,10,13,0,0,0,,Jueves,,0,9,0,0,0,,Jueves,,8,15,3,7,0,,Jueves,,6,16,8,6,0,,Jueves,334,184,126,11,13,0
,Ø Jueves,,"3,5","2,75",0,0,0,,Ø Jueves,,"3,5",1,0,0,0,,Ø Jueves,,"4,2","1,8",0,0,0,,Ø Jueves,,3,"0,25",0,0,0,,Ø Jueves,,"5,5","4,75",0,0,0,,Ø Jueves,,"6,2",3,0,0,0,,Ø Jueves,,4,"2,75",0,0,0,,Ø Jueves,,"7,5","0,75",0,0,0,,Ø Jueves,,2,"2,6",0,0,0,,Ø Jueves,,0,"2,25",0,0,0,,Ø Jueves,,2,"3,75","0,75","1,75",0,,Ø Jueves,,"1,2","3,2","1,6","1,2",0,,Ø Jueves,"641,00%","3,53","2,42","0,21","0,25","0,00"
,% Jueves,,"10,3%","11,5%",,,,,% Jueves,,"12,3%","8,3%",,,,,% Jueves,,"15,4%","13,6%",,,,,% Jueves,,"8,4%","2,0%",,,,,% Jueves,,"13,4%","21,1%",,,,,% Jueves,,"19,6%","18,3%",,,,,% Jueves,,"7,4%","9,1%",,,,,% Jueves,,"13,1%","4,2%",,,,,% Jueves,,"11,0%","14,3%",,,,,% Jueves,,"0,0%","15,3%",,,,,% Jueves,,"8,3%","16,5%","5,6%","17,5%",,,% Jueves,,"6,4%","18,4%","11,1%","5,9%",,,% Jueves,"11,6%","11,2%","13,2%","8,7%","9,2%",
,% liderazgo,,"77,8%","61,1%","0,0%","0,0%","0,0%",,% liderazgo,,"77,8%","22,2%","0,0%","0,0%","0,0%",,% liderazgo,,"70,0%","30,0%","0,0%","0,0%","0,0%",,% liderazgo,,"27,9%","2,3%","0,0%","0,0%","0,0%",,% liderazgo,,"51,2%","44,2%","0,0%","0,0%","0,0%",,% liderazgo,,"72,1%","34,9%","0,0%","0,0%","0,0%",,% liderazgo,,"37,2%","25,6%","0,0%","0,0%","0,0%",,% liderazgo,,"69,8%","7,0%","0,0%","0,0%","0,0%",,% liderazgo,,"23,3%","30,2%","0,0%","0,0%","0,0%",,% liderazgo,,"0,0%","20,9%","0,0%","0,0%","0,0%",,% liderazgo,,"18,6%","34,9%","7,0%","16,3%","0,0%",,% liderazgo,,"14,0%","37,2%","18,6%","14,0%","0,0%",,% liderazgo,"0,2%","0,2%","0,3%","0,2%","0,2%",
,Viernes,,18,13,0,0,0,,Viernes,,18,15,0,0,0,,Viernes,,23,24,0,0,0,,Viernes,,25,3,0,0,0,,Viernes,,31,11,0,0,0,,Viernes,,30,13,0,0,0,,Viernes,,37,21,0,0,0,,Viernes,,39,12,0,0,0,,Viernes,,11,13,0,0,0,,Viernes,,7,11,0,0,0,,Viernes,,17,20,8,3,0,,Viernes,,21,16,17,24,0,,Viernes,501,277,172,25,27,0
,Ø Viernes,,"4,5","3,25",0,0,0,,Ø Viernes,,"4,5","3,75",0,0,0,,Ø Viernes,,"5,75",6,0,0,0,,Ø Viernes,,5,"0,6",0,0,0,,Ø Viernes,,"7,75","2,75",0,0,0,,Ø Viernes,,"7,5","3,25",0,0,0,,Ø Viernes,,"7,4","4,2",0,0,0,,Ø Viernes,,"9,75",3,0,0,0,,Ø Viernes,,"2,2","2,6",0,0,0,,Ø Viernes,,"1,75","2,75",0,0,0,,Ø Viernes,,"4,25",5,2,"0,75",0,,Ø Viernes,,"4,2","3,2","3,4","4,8",0,,Ø Viernes,"9,61","5,31","3,3","0,48","0,52",0
,% Viernes,,"13,2%","13,5%",,,,,% Viernes,,"15,8%","31,3%",,,,,% Viernes,,"16,9%","36,4%",,,,,% Viernes,,"17,5%","6,0%",,,,,% Viernes,,"18,9%","12,2%",,,,,% Viernes,,"19,0%","15,9%",,,,,% Viernes,,"17,1%","17,4%",,,,,% Viernes,,"17,0%","16,9%",,,,,% Viernes,,"12,1%","14,3%",,,,,% Viernes,,"9,9%","18,6%",,,,,% Viernes,,"17,7%","22,0%","14,8%","7,5%",,,% Viernes,,"22,3%","18,4%","23,6%","23,8%",,,% Viernes,"17,5%","16,8%","18,1%","19,8%","19,1%",
,% liderazgo,,"54,5%","39,4%","0,0%","0,0%","0,0%",,% liderazgo,,"54,5%","45,5%","0,0%","0,0%","0,0%",,% liderazgo,,"48,9%","51,1%","0,0%","0,0%","0,0%",,% liderazgo,,"33,3%","4,0%","0,0%","0,0%","0,0%",,% liderazgo,,"41,3%","14,7%","0,0%","0,0%","0,0%",,% liderazgo,,"40,0%","17,3%","0,0%","0,0%","0,0%",,% liderazgo,,"49,3%","28,0%","0,0%","0,0%","0,0%",,% liderazgo,,"52,0%","16,0%","0,0%","0,0%","0,0%",,% liderazgo,,"14,7%","17,3%","0,0%","0,0%","0,0%",,% liderazgo,,"9,3%","14,7%","0,0%","0,0%","0,0%",,% liderazgo,,"22,7%","26,7%","10,7%","4,0%","0,0%",,% liderazgo,,"28,0%","21,3%","22,7%","32,0%","0,0%",,% liderazgo,"0,3%","0,3%","0,3%","0,4%","0,4%",
,Sábado,,41,22,0,0,0,,Sábado,,22,19,0,0,0,,Sábado,,32,9,0,0,0,,Sábado,,46,14,0,0,0,,Sábado,,36,12,0,0,0,,Sábado,,52,23,0,0,0,,Sábado,,62,41,0,0,0,,Sábado,,41,10,0,0,0,,Sábado,,31,40,0,0,0,,Sábado,,28,17,0,0,0,,Sábado,,29,19,8,17,0,,Sábado,,22,27,22,26,0,,Sábado,768,442,253,30,43,0
,Ø Sábado,,"8,2","4,4",0,0,0,,Ø Sábado,,"5,5","4,75",0,0,0,,Ø Sábado,,8,"2,25",0,0,0,,Ø Sábado,,"9,2","2,8",0,0,0,,Ø Sábado,,9,3,0,0,0,,Ø Sábado,,13,"5,75",0,0,0,,Ø Sábado,,"12,4","8,2",0,0,0,,Ø Sábado,,"10,25","2,5",0,0,0,,Ø Sábado,,"7,75",10,0,0,0,,Ø Sábado,,"5,6","3,4",0,0,0,,Ø Sábado,,"5,8","3,8","1,6","3,4",0,,Ø Sábado,,"4,4","5,4","4,4","5,2",0,,Ø Sábado,"14,73","8,48","4,85","0,58","0,82",0
,% Sábado,,"30,1%","22,9%",,,,,% Sábado,,"19,3%","39,6%",,,,,% Sábado,,"23,5%","13,6%",,,,,% Sábado,,"32,2%","28,0%",,,,,% Sábado,,"22,0%","13,3%",,,,,% Sábado,,"32,9%","28,0%",,,,,% Sábado,,"28,6%","33,9%",,,,,% Sábado,,"17,9%","14,1%",,,,,% Sábado,,"34,1%","44,0%",,,,,% Sábado,,"39,4%","28,8%",,,,,% Sábado,,"30,2%","20,9%","14,8%","42,5%",,,% Sábado,,"23,4%","31,0%","30,6%","25,7%",,,% Sábado,"26,8%","26,8%","26,6%","23,8%","30,5%",
,% liderazgo,,"100,0%","53,7%","0,0%","0,0%","0,0%",,% liderazgo,,"53,7%","46,3%","0,0%","0,0%","0,0%",,% liderazgo,,"78,0%","22,0%","0,0%","0,0%","0,0%",,% liderazgo,,"45,5%","13,9%","0,0%","0,0%","0,0%",,% liderazgo,,"35,6%","11,9%","0,0%","0,0%","0,0%",,% liderazgo,,"51,5%","22,8%","0,0%","0,0%","0,0%",,% liderazgo,,"61,4%","40,6%","0,0%","0,0%","0,0%",,% liderazgo,,"40,6%","9,9%","0,0%","0,0%","0,0%",,% liderazgo,,"30,7%","39,6%","0,0%","0,0%","0,0%",,% liderazgo,,"27,7%","16,8%","0,0%","0,0%","0,0%",,% liderazgo,,"28,7%","18,8%","7,9%","16,8%","0,0%",,% liderazgo,,"21,8%","26,7%","21,8%","25,7%","0,0%",,% liderazgo,"0,5%","0,5%","0,5%","0,5%","0,6%",
,Domingo,,33,13,0,0,0,,Domingo,,18,6,0,0,0,,Domingo,,22,7,0,0,0,,Domingo,,18,8,0,0,0,,Domingo,,28,14,0,0,0,,Domingo,,14,10,0,0,0,,Domingo,,36,16,0,0,0,,Domingo,,35,11,0,0,0,,Domingo,,27,17,0,0,0,,Domingo,,21,12,0,0,0,,Domingo,,17,12,13,4,0,,Domingo,,16,13,5,13,0,,Domingo,459,285,139,18,17,0
,Ø Domingo,,"6,6","2,6",0,0,0,,Ø Domingo,,"4,5","1,5",0,0,0,,Ø Domingo,,"5,5","1,75",0,0,0,,Ø Domingo,,"4,5",2,0,0,0,,Ø Domingo,,"5,6","2,8",0,0,0,,Ø Domingo,,"3,5","2,5",0,0,0,,Ø Domingo,,"7,2","3,2",0,0,0,,Ø Domingo,,"8,75","2,75",0,0,0,,Ø Domingo,,"6,75","4,25",0,0,0,,Ø Domingo,,"4,2","2,4",0,0,0,,Ø Domingo,,"4,25",3,"3,25",1,0,,Ø Domingo,,4,"3,25","1,25","3,25",0,,Ø Domingo,"8,8","5,47","2,67","0,35","0,33",0
,% Domingo,,"24,3%","13,5%",,,,,% Domingo,,"15,8%","12,5%",,,,,% Domingo,,"16,2%","10,6%",,,,,% Domingo,,"12,6%","16,0%",,,,,% Domingo,,"17,1%","15,6%",,,,,% Domingo,,"8,9%","12,2%",,,,,% Domingo,,"16,6%","13,2%",,,,,% Domingo,,"15,3%","15,5%",,,,,% Domingo,,"29,7%","18,7%",,,,,% Domingo,,"29,6%","20,3%",,,,,% Domingo,,"17,7%","13,2%","24,1%","10,0%",,,% Domingo,,"17,0%","14,9%","6,9%","12,9%",,,% Domingo,"16,0%","17,3%","14,6%","14,3%","12,1%",
,% liderazgo,,"137,5%","54,2%","0,0%","0,0%","0,0%",,% liderazgo,,"75,0%","25,0%","0,0%","0,0%","0,0%",,% liderazgo,,"75,9%","24,1%","0,0%","0,0%","0,0%",,% liderazgo,,"32,7%","14,5%","0,0%","0,0%","0,0%",,% liderazgo,,"50,9%","25,5%","0,0%","0,0%","0,0%",,% liderazgo,,"25,5%","18,2%","0,0%","0,0%","0,0%",,% liderazgo,,"65,5%","29,1%","0,0%","0,0%","0,0%",,% liderazgo,,"63,6%","20,0%","0,0%","0,0%","0,0%",,% liderazgo,,"49,1%","30,9%","0,0%","0,0%","0,0%",,% liderazgo,,"38,2%","21,8%","0,0%","0,0%","0,0%",,% liderazgo,,"30,9%","21,8%","23,6%","7,3%","0,0%",,% liderazgo,,"29,1%","23,6%","9,1%","23,6%","0,0%",,% liderazgo,"0,3%","0,3%","0,3%","0,3%","0,2%",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,136,96,0,0,0,232,,,114,48,0,0,0,162,,,136,66,0,0,0,202,,,143,50,0,0,0,193,,,164,90,0,0,0,254,,,158,82,0,0,0,240,,,217,121,0,0,0,338,,,229,71,0,0,0,300,,,91,91,0,0,0,182,,,71,59,0,0,0,130,,,96,91,54,40,0,281,,,94,87,72,101,0,,,2868,1649,952,126,141,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mes,,CFC,JCR,JSP,DMP,DSS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enero,,136,96,0,0,0,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Febrero,,114,48,0,0,0,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marzo,,136,66,0,0,0,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abril,,143,50,0,0,0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mayo,,164,90,0,0,0,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junio,,158,82,0,0,0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julio,,217,121,0,0,0,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agosto,,229,71,0,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septiembre,,91,91,0,0,0,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Octubre,,71,59,0,0,0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noviembre,,96,91,54,40,0,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diciembre,,94,87,72,101,0,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mes,,CFC,JCR,JSP,DMP,DSS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enero,,0%,14%,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Febrero,,16%,43%,,,,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marzo,,0%,22%,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abril,,5%,41%,,,,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mayo,,21%,7%,,,,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junio,,16%,3%,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julio,,60%,43%,,,,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agosto,,68%,16%,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septiembre,,33%,8%,,,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Octubre,,48%,30%,,,,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noviembre,,29%,8%,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diciembre,,31%,3%,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27%,20%,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
