BIRRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,,,,,,,
,11-ene,"4,00",1,0,3,0,,,11-feb,"7,00",1,7,2,7,,,11-mar,"7,00",3,2,2,5,,,11-abr,"3,00",1,0,1,2,,,11-may,"5,00",10,2,0,0,,,11-jun,"1,00",7,3,0,4,,,11-jul,"3,00",4,0,2,3,,,11-ago,"6,00",5,9,2,10,,,11-sept,"2,00",1,0,0,2,,,11-oct,"4,00",6,0,2,6,,,11-nov,"7,00",9,6,2,10,,,11-dic,"2,00",5,0,3,0,,,,,,,,,,,,,,,
,12-ene,"5,00",1,3,1,1,,,12-feb,"1,00",5,0,0,4,,,12-mar,"1,00",9,0,1,2,,,12-abr,"4,00",4,3,0,4,,,12-may,"6,00",14,5,0,7,,,12-jun,"2,00",0,0,0,0,,,12-jul,"4,00",4,4,2,4,,,12-ago,"7,00",6,5,4,4,,,12-sept,"3,00",3,0,2,1,,,12-oct,"5,00",9,5,6,8,,,12-nov,"1,00",1,8,2,1,,,12-dic,"3,00",2,6,0,8,,,,,,,,,,,,,,,
,13-ene,"6,00",0,1,0,0,,,13-feb,"2,00",0,0,0,0,,,13-mar,"2,00",0,0,0,1,,,13-abr,"5,00",3,0,1,1,,,13-may,"7,00",15,7,1,12,,,13-jun,"3,00",2,0,0,3,,,13-jul,"5,00",3,6,1,8,,,13-ago,"1,00",5,0,0,1,,,13-sept,"4,00",1,0,0,0,,,13-oct,"6,00",4,7,0,1,,,13-nov,"2,00",0,0,0,0,,,13-dic,"4,00",2,1,0,0,,,,,,,,,,,,,,,
,14-ene,"7,00",7,2,0,4,,,14-feb,"3,00",0,0,0,0,,,14-mar,"3,00",2,0,0,1,,,14-abr,"6,00",2,7,4,4,,,14-may,"1,00",3,2,0,4,,,14-jun,"4,00",0,0,0,0,,,14-jul,"6,00",4,2,2,12,,,14-ago,"2,00",10,6,5,6,,,14-sept,"5,00",0,3,2,4,,,14-oct,"7,00",6,9,0,3,,,14-nov,"3,00",2,0,0,0,,,14-dic,"5,00",3,8,0,7,,,,,,,,,,,,,,,
,15-ene,"1,00",3,6,0,6,,,15-feb,"4,00",0,0,0,3,,,15-mar,"4,00",1,3,3,6,,,15-abr,"7,00",7,5,5,4,,,15-may,"2,00",3,0,4,2,,,15-jun,"5,00",15,4,2,2,,,15-jul,"7,00",5,6,4,16,,,15-ago,"3,00",6,3,3,3,,,15-sept,"6,00",6,8,2,11,,,15-oct,"1,00",9,0,2,0,,,15-nov,"4,00",0,0,0,3,,,15-dic,"6,00",5,16,0,4,,,,,,,,,,,,,,,
,16-ene,"2,00",0,0,0,0,,,16-feb,"5,00",2,3,0,3,,,16-mar,"5,00",0,0,0,3,,,16-abr,"1,00",6,5,1,7,,,16-may,"3,00",0,0,0,0,,,16-jun,"6,00",10,6,10,9,,,16-jul,"1,00",4,5,1,0,,,16-ago,"4,00",6,0,6,5,,,16-sept,"7,00",5,3,9,9,,,16-oct,"2,00",2,0,2,0,,,16-nov,"5,00",0,0,3,3,,,16-dic,"7,00",8,8,2,9,,,,,Days so far,365,,,,,,,,,
,17-ene,"3,00",4,4,0,1,,,17-feb,"6,00",11,5,11,11,,,17-mar,"6,00",4,2,2,1,,,17-abr,"2,00",0,0,0,0,,,17-may,"4,00",9,10,2,4,,,17-jun,"7,00",13,5,2,11,,,17-jul,"2,00",1,0,1,0,,,17-ago,"5,00",7,3,0,8,,,17-sept,"1,00",3,5,0,1,,,17-oct,"3,00",3,7,1,0,,,17-nov,"6,00",4,5,2,1,,,17-dic,"1,00",6,0,1,3,,,,,,,,,,,,,,,
,18-ene,"4,00",0,0,0,0,,,18-feb,"7,00",11,4,5,10,,,18-mar,"7,00",2,12,2,8,,,18-abr,"3,00",1,5,2,4,,,18-may,"5,00",0,0,1,4,,,18-jun,"1,00",3,1,1,3,,,18-jul,"3,00",1,1,0,5,,,18-ago,"6,00",9,5,3,10,,,18-sept,"2,00",4,0,0,0,,,18-oct,"4,00",0,0,0,0,,,18-nov,"7,00",4,5,1,7,,,18-dic,"2,00",2,0,3,1,,,,,,,,,,,,,,,
,19-ene,"5,00",1,0,4,8,,,19-feb,"1,00",2,8,2,4,,,19-mar,"1,00",4,0,6,5,,,19-abr,"4,00",1,3,1,1,,,19-may,"6,00",8,2,0,6,,,19-jun,"2,00",0,0,0,0,,,19-jul,"4,00",4,3,1,12,,,19-ago,"7,00",7,7,6,8,,,19-sept,"3,00",4,2,4,3,,,19-oct,"5,00",3,0,2,0,,,19-nov,"1,00",6,1,5,0,,,19-dic,"3,00",0,0,0,0,,,,,,,,,,,,,,,
,20-ene,"6,00",1,0,0,0,,,20-feb,"2,00",0,0,0,0,,,20-mar,"2,00",3,3,1,4,,,20-abr,"5,00",3,0,0,3,,,20-may,"7,00",3,10,5,10,,,20-jun,"3,00",1,5,0,0,,,20-jul,"5,00",4,2,1,1,,,20-ago,"1,00",7,7,0,1,,,20-sept,"4,00",2,6,2,0,,,20-oct,"6,00",3,5,10,7,,,20-nov,"2,00",1,1,4,0,,,20-dic,"4,00",5,0,3,2,,,,,,,,,,,,,,,
