BIRRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,,,,,,,
,% liderazgo,,"45,5%","36,4%","0,0%","18,2%","0,0%",,% liderazgo,,"22,7%","9,1%","27,3%","40,9%","0,0%",,% liderazgo,,"25,0%","18,8%","37,5%","18,8%","0,0%",,% liderazgo,,"26,7%","23,3%","13,3%","36,7%","0,0%",,% liderazgo,,"27,1%","25,4%","13,6%","33,9%","0,0%",,% liderazgo,,"18,2%","40,9%","18,2%","22,7%","0,0%",,% liderazgo,,"26,8%","12,2%","26,8%","34,1%","0,0%",,% liderazgo,,"37,0%","13,0%","11,1%","38,9%","0,0%",,% liderazgo,,"26,3%","39,5%","18,4%","15,8%","0,0%",,% liderazgo,,"32,4%","37,8%","18,9%","10,8%","0,0%",,% liderazgo,,"62,5%","12,5%","0,0%","25,0%","0,0%",,% liderazgo,,"35,5%","35,5%","0,0%","29,0%","0,0%",,% liderazgo,"100,0%","31,2%","25,3%","15,2%","28,4%","0,0%",,,,,,
,Miércoles,,4,4,3,3,0,,Miércoles,,4,3,0,4,0,,Miércoles,,9,6,5,28,0,,Miércoles,,7,10,5,20,0,,Miércoles,,20,10,7,11,0,,Miércoles,,4,12,7,15,0,,Miércoles,,13,11,11,23,0,,Miércoles,,20,5,9,26,0,,Miércoles,,9,16,5,6,0,,Miércoles,,11,10,5,11,0,,Miércoles,,19,15,8,14,0,,Miércoles,,17,3,12,6,6,,Miércoles,492,137,105,77,167,6,,,,,,
,Ø Miércoles,,1,1,"0,75","0,75",0,,Ø Miércoles,,1,"0,75",0,1,0,,Ø Miércoles,,"1,8","1,2",1,"5,6",0,,Ø Miércoles,,"1,75","2,5","1,25",5,0,,Ø Miércoles,,4,2,"1,4","2,2",0,,Ø Miércoles,,1,3,"1,75","3,75",0,,Ø Miércoles,,"3,25","2,75","2,75","5,75",0,,Ø Miércoles,,4,1,"1,8","5,2",0,,Ø Miércoles,,"2,25",4,"1,25","1,5",0,,Ø Miércoles,,"2,75","2,5","1,25","2,75",0,,Ø Miércoles,,"3,8",3,"1,6","2,8",0,,Ø Miércoles,,"4,25","0,75",3,"1,5","1,5",,Ø Miércoles,"9,44","2,63","2,01","1,48","3,2","0,12",,,,,,
,% Miercoles,,"5,7%","6,8%","17,6%","5,2%",,,% Miercoles,,"5,1%","4,9%","0,0%","4,9%",,,% Miercoles,,"10,0%","7,0%","8,6%","26,4%",,,% Miercoles,,"6,0%","10,3%","8,1%","16,4%",,,% Miercoles,,"13,0%","12,7%","10,9%","8,7%",,,% Miercoles,,"2,9%","11,5%","14,0%","11,8%",,,% Miercoles,,"11,8%","11,8%","13,8%","16,2%",,,% Miercoles,,"13,6%","4,5%","11,7%","15,2%",,,% Miercoles,,"8,0%","12,7%","8,9%","6,5%",,,% Miercoles,,"8,3%","11,1%","8,3%","14,5%",,,% Miercoles,,"16,2%","19,7%","19,0%","21,5%",,,% Miercoles,,"9,0%","2,6%","22,6%","6,7%","20,0%",,% Miercoles,"11,0%","9,4%","9,6%","11,8%","13,3%","20,0%",,,,,,
,% liderazgo,,"28,6%","28,6%","21,4%","21,4%","0,0%",,% liderazgo,,"36,4%","27,3%","0,0%","36,4%","0,0%",,% liderazgo,,"18,8%","12,5%","10,4%","58,3%","0,0%",,% liderazgo,,"16,7%","23,8%","11,9%","47,6%","0,0%",,% liderazgo,,"41,7%","20,8%","14,6%","22,9%","0,0%",,% liderazgo,,"10,5%","31,6%","18,4%","39,5%","0,0%",,% liderazgo,,"22,4%","19,0%","19,0%","39,7%","0,0%",,% liderazgo,,"33,3%","8,3%","15,0%","43,3%","0,0%",,% liderazgo,,"25,0%","44,4%","13,9%","16,7%","0,0%",,% liderazgo,,"29,7%","27,0%","13,5%","29,7%","0,0%",,% liderazgo,,"33,9%","26,8%","14,3%","25,0%","0,0%",,% liderazgo,,"38,6%","6,8%","27,3%","13,6%","13,6%",,% liderazgo,"100,0%","27,8%","21,3%","15,7%","33,9%","1,2%",,,,,,
,Jueves,,6,6,5,14,0,,Jueves,,7,3,0,9,0,,Jueves,,9,14,1,18,0,,Jueves,,14,6,5,8,0,,Jueves,,22,5,8,15,0,,Jueves,,20,13,7,29,0,,Jueves,,10,15,15,15,0,,Jueves,,31,16,10,34,0,,Jueves,,3,6,5,7,0,,Jueves,,22,15,9,16,0,,Jueves,,18,4,7,13,0,,Jueves,,17,22,2,16,1,,Jueves,573,179,125,74,194,1,,,,,,
,Ø Jueves,,"1,5","1,5","1,25","3,5",0,,Ø Jueves,,"1,75","0,75",0,"2,25",0,,Ø Jueves,,"1,8","2,8","0,2","3,6",0,,Ø Jueves,,"3,5","1,5","1,25",2,0,,Ø Jueves,,"5,5","1,25",2,"3,75",0,,Ø Jueves,,4,"2,6","1,4","5,8",0,,Ø Jueves,,"2,5","3,75","3,75","3,75",0,,Ø Jueves,,"6,2","3,2",2,"6,8",0,,Ø Jueves,,"0,75","1,5","1,25","1,75",0,,Ø Jueves,,"5,5","3,75","2,25",4,0,,Ø Jueves,,"3,6","0,8","1,4","2,6",0,,Ø Jueves,,"4,25","5,5","0,5",4,"0,25",,Ø Jueves,"10,99","3,43","2,4","1,42","3,72","0,02",,,,,,
,% Jueves,,"8,6%","10,2%","29,4%","24,1%",,,% Jueves,,"8,9%","4,9%","0,0%","11,1%",,,% Jueves,,"10,0%","16,3%","1,7%","17,0%",,,% Jueves,,"12,1%","6,2%","8,1%","6,6%",,,% Jueves,,"14,3%","6,3%","12,5%","11,9%",,,% Jueves,,"14,7%","12,5%","14,0%","22,8%",,,% Jueves,,"9,1%","16,1%","18,8%","10,6%",,,% Jueves,,"21,1%","14,4%","13,0%","19,9%",,,% Jueves,,"2,7%","4,8%","8,9%","7,6%",,,% Jueves,,"16,7%","16,7%","15,0%","21,1%",,,% Jueves,,"15,4%","5,3%","16,7%","20,0%",,,% Jueves,,"9,0%","19,0%","3,8%","17,8%","3,3%",,% Jueves,"12,8%","12,3%","11,4%","11,4%","15,4%","3,3%",,,,,,
,% liderazgo,,"19,4%","19,4%","16,1%","45,2%","0,0%",,% liderazgo,,"36,8%","15,8%","0,0%","47,4%","0,0%",,% liderazgo,,"21,4%","33,3%","2,4%","42,9%","0,0%",,% liderazgo,,"42,4%","18,2%","15,2%","24,2%","0,0%",,% liderazgo,,"44,0%","10,0%","16,0%","30,0%","0,0%",,% liderazgo,,"29,0%","18,8%","10,1%","42,0%","0,0%",,% liderazgo,,"18,2%","27,3%","27,3%","27,3%","0,0%",,% liderazgo,,"34,1%","17,6%","11,0%","37,4%","0,0%",,% liderazgo,,"14,3%","28,6%","23,8%","33,3%","0,0%",,% liderazgo,,"35,5%","24,2%","14,5%","25,8%","0,0%",,% liderazgo,,"42,9%","9,5%","16,7%","31,0%","0,0%",,% liderazgo,,"29,3%","37,9%","3,4%","27,6%","1,7%",,% liderazgo,"100,0%","31,2%","21,8%","12,9%","33,9%","0,2%",,,,,,
,Viernes,,9,6,1,8,0,,Viernes,,24,17,12,19,0,,Viernes,,17,21,22,21,0,,Viernes,,12,13,9,11,0,,Viernes,,38,9,4,26,0,,Viernes,,38,25,18,36,0,,Viernes,,16,11,11,26,0,,Viernes,,18,30,21,35,0,,Viernes,,20,29,12,23,0,,Viernes,,12,23,13,10,0,,Viernes,,21,18,7,13,0,,Viernes,,41,34,11,15,2,,Viernes,888,266,236,141,243,2,,,,,,
,Ø Viernes,,"2,25","1,5","0,25",2,0,,Ø Viernes,,6,"4,25",3,"4,75",0,,Ø Viernes,,"3,4","4,2","4,4","4,2",0,,Ø Viernes,,3,"3,25","2,25","2,75",0,,Ø Viernes,,"9,5","2,25",1,"6,5",0,,Ø Viernes,,"7,6",5,"3,6","7,2",0,,Ø Viernes,,4,"2,75","2,75","6,5",0,,Ø Viernes,,"4,5","7,5","5,25","8,75",0,,Ø Viernes,,4,"5,8","2,4","4,6",0,,Ø Viernes,,3,"5,75","3,25","2,5",0,,Ø Viernes,,"5,25","4,5","1,75","3,25",0,,Ø Viernes,,"8,2","6,8","2,2",3,"0,4",,Ø Viernes,"17,03","5,1","4,53","2,7","4,66","0,04",,,,,,
,% Viernes,,"12,9%","10,2%","5,9%","13,8%",,,% Viernes,,"30,4%","27,9%","38,7%","23,5%",,,% Viernes,,"18,9%","24,4%","37,9%","19,8%",,,% Viernes,,"10,3%","13,4%","14,5%","9,0%",,,% Viernes,,"24,7%","11,4%","6,3%","20,6%",,,% Viernes,,"27,9%","24,0%","36,0%","28,3%",,,% Viernes,,"14,5%","11,8%","13,8%","18,3%",,,% Viernes,,"12,2%","27,0%","27,3%","20,5%",,,% Viernes,,"17,7%","23,0%","21,4%","25,0%",,,% Viernes,,"9,1%","25,6%","21,7%","13,2%",,,% Viernes,,"17,9%","23,7%","16,7%","20,0%",,,% Viernes,,"21,7%","29,3%","20,8%","16,7%","6,7%",,% Viernes,"19,8%","18,3%","21,5%","21,7%","19,3%","6,7%",,,,,,
,% liderazgo,,"37,5%","25,0%","4,2%","33,3%","0,0%",,% liderazgo,,"33,3%","23,6%","16,7%","26,4%","0,0%",,% liderazgo,,"21,0%","25,9%","27,2%","25,9%","0,0%",,% liderazgo,,"26,7%","28,9%","20,0%","24,4%","0,0%",,% liderazgo,,"49,4%","11,7%","5,2%","33,8%","0,0%",,% liderazgo,,"32,5%","21,4%","15,4%","30,8%","0,0%",,% liderazgo,,"25,0%","17,2%","17,2%","40,6%","0,0%",,% liderazgo,,"17,3%","28,8%","20,2%","33,7%","0,0%",,% liderazgo,,"23,8%","34,5%","14,3%","27,4%","0,0%",,% liderazgo,,"20,7%","39,7%","22,4%","17,2%","0,0%",,% liderazgo,,"35,6%","30,5%","11,9%","22,0%","0,0%",,% liderazgo,,"39,8%","33,0%","10,7%","14,6%","1,9%",,% liderazgo,"100,0%","30,0%","26,6%","15,9%","27,4%","0,2%",,,,,,
,Sábado,,21,18,8,18,0,,Sábado,,23,27,10,27,0,,Sábado,,19,26,13,22,0,,Sábado,,31,38,20,33,0,,Sábado,,37,24,22,40,0,,Sábado,,33,30,8,33,0,,Sábado,,32,31,15,43,0,,Sábado,,21,30,23,26,0,,Sábado,,49,36,25,32,0,,Sábado,,31,24,14,23,0,,Sábado,,27,21,6,18,0,,Sábado,,38,32,8,17,5,,Sábado,1208,362,337,172,332,5,,,,,,
,Ø Sábado,,"5,25","4,5",2,"4,5",0,,Ø Sábado,,"5,75","6,75","2,5","6,75",0,,Ø Sábado,,"4,75","6,5","3,25","5,5",0,,Ø Sábado,,"6,2","7,6",4,"6,6",0,,Ø Sábado,,"9,25",6,"5,5",10,0,,Ø Sábado,,"8,25","7,5",2,"8,25",0,,Ø Sábado,,"6,4","6,2",3,"8,6",0,,Ø Sábado,,"5,25","7,5","5,75","6,5",0,,Ø Sábado,,"9,8","7,2",5,"6,4",0,,Ø Sábado,,"7,75",6,"3,5","5,75",0,,Ø Sábado,,"6,75","5,25","1,5","4,5",0,,Ø Sábado,,"7,6","6,4","1,6","3,4",1,,Ø Sábado,"23,17","6,94","6,46","3,3","6,37","0,1",,,,,,
,% Sábado,,"30,0%","30,5%","47,1%","31,0%",,,% Sábado,,"29,1%","44,3%","32,3%","33,3%",,,% Sábado,,"21,1%","30,2%","22,4%","20,8%",,,% Sábado,,"26,7%","39,2%","32,3%","27,0%",,,% Sábado,,"24,0%","30,4%","34,4%","31,7%",,,% Sábado,,"24,3%","28,8%","16,0%","26,0%",,,% Sábado,,"29,1%","33,3%","18,8%","30,3%",,,% Sábado,,"14,3%","27,0%","29,9%","15,2%",,,% Sábado,,"43,4%","28,6%","44,6%","34,8%",,,% Sábado,,"23,5%","26,7%","23,3%","30,3%",,,% Sábado,,"23,1%","27,6%","14,3%","27,7%",,,% Sábado,,"20,1%","27,6%","15,1%","18,9%","16,7%",,% Sábado,"24,9%","30,7%","30,7%","26,5%","26,4%","16,7%",,,,,,
,% liderazgo,,"32,3%","27,7%","12,3%","27,7%","0,0%",,% liderazgo,,"26,4%","31,0%","11,5%","31,0%","0,0%",,% liderazgo,,"23,8%","32,5%","16,3%","27,5%","0,0%",,% liderazgo,,"25,4%","31,1%","16,4%","27,0%","0,0%",,% liderazgo,,"30,1%","19,5%","17,9%","32,5%","0,0%",,% liderazgo,,"31,7%","28,8%","7,7%","31,7%","0,0%",,% liderazgo,,"26,4%","25,6%","12,4%","35,5%","0,0%",,% liderazgo,,"21,0%","30,0%","23,0%","26,0%","0,0%",,% liderazgo,,"34,5%","25,4%","17,6%","22,5%","0,0%",,% liderazgo,,"33,7%","26,1%","15,2%","25,0%","0,0%",,% liderazgo,,"37,5%","29,2%","8,3%","25,0%","0,0%",,% liderazgo,,"38,0%","32,0%","8,0%","17,0%","5,0%",,% liderazgo,"30,0%","27,9%","27,9%","14,2%","27,5%","0,4%",,,,,,
,Domingo,,16,13,0,10,0,,Domingo,,16,9,3,11,0,,Domingo,,26,5,10,7,0,,Domingo,,42,23,19,30,0,,Domingo,,8,10,2,5,0,,Domingo,,29,10,6,7,0,,Domingo,,18,17,12,9,0,,Domingo,,19,11,1,8,0,,Domingo,,16,19,2,16,0,,Domingo,,30,4,9,7,0,,Domingo,,18,15,10,3,0,,Domingo,,44,14,14,23,14,,Domingo,670,282,150,88,136,14,,,,,,
,Ø Domingo,,"3,2","2,6",0,2,0,,Ø Domingo,,4,"2,25","0,75","2,75",0,,Ø Domingo,,"6,5","1,25","2,5","1,75",0,,Ø Domingo,,"8,4","4,6","3,8",6,0,,Ø Domingo,,2,"2,5","0,5","1,25",0,,Ø Domingo,,"7,25","2,5","1,5","1,75",0,,Ø Domingo,,"3,6","3,4","2,4","1,8",0,,Ø Domingo,,"4,75","2,75","0,25",2,0,,Ø Domingo,,4,"4,75","0,5",4,0,,Ø Domingo,,6,"0,8","1,8","1,4",0,,Ø Domingo,,"4,5","3,75","2,5","0,75",0,,Ø Domingo,,"8,8","2,8","2,8","4,6","2,8",,Ø Domingo,"12,85","5,41","2,88","1,69","2,61","0,27",,,,,,
,% Domingo,,"22,9%","22,0%","0,0%","17,2%",,,% Domingo,,"20,3%","14,8%","9,7%","13,6%",,,% Domingo,,"28,9%","5,8%","17,2%","6,6%",,,% Domingo,,"36,2%","23,7%","30,6%","24,6%",,,% Domingo,,"5,2%","12,7%","3,1%","4,0%",,,% Domingo,,"21,3%","9,6%","12,0%","5,5%",,,% Domingo,,"16,4%","18,3%","15,0%","6,3%",,,% Domingo,,"12,9%","9,9%","1,3%","4,7%",,,% Domingo,,"14,2%","15,1%","3,6%","17,4%",,,% Domingo,,"22,7%","4,4%","15,0%","9,2%",,,% Domingo,,"15,4%","19,7%","23,8%","4,6%",,,% Domingo,,"23,3%","12,1%","26,4%","25,6%","46,7%",,% Domingo,"14,9%","19,4%","13,7%","13,5%","10,8%","46,7%",,,,,,
,% liderazgo,,"41,0%","33,3%","0,0%","25,6%","0,0%",,% liderazgo,,"41,0%","23,1%","7,7%","28,2%","0,0%",,% liderazgo,,"54,2%","10,4%","20,8%","14,6%","0,0%",,% liderazgo,,"36,8%","20,2%","16,7%","26,3%","0,0%",,% liderazgo,,"32,0%","40,0%","8,0%","20,0%","0,0%",,% liderazgo,,"55,8%","19,2%","11,5%","13,5%","0,0%",,% liderazgo,,"32,1%","30,4%","21,4%","16,1%","0,0%",,% liderazgo,,"48,7%","28,2%","2,6%","20,5%","0,0%",,% liderazgo,,"30,2%","35,8%","3,8%","30,2%","0,0%",,% liderazgo,,"60,0%","8,0%","18,0%","14,0%","0,0%",,% liderazgo,,"39,1%","32,6%","21,7%","6,5%","0,0%",,% liderazgo,,"40,4%","12,8%","12,8%","21,1%","12,8%",,% liderazgo,"100,0%","42,1%","22,4%","13,1%","20,3%","2,1%",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70,59,17,58,0,204,,,79,61,31,81,0,252,,,90,86,58,106,0,340,,,116,97,62,122,0,397,,,154,79,64,126,0,423,,,136,104,50,127,0,417,,,110,93,80,142,0,425,,,147,111,77,171,0,506,,,113,126,56,92,0,387,,,132,90,60,76,0,358,,,117,76,42,65,0,300,,,189,116,53,90,30,,,4487,1453,1098,650,1256,30,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mes,,CFC,JCR,JSP,DMP,DSS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enero,,70,59,17,58,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Febrero,,79,61,31,81,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marzo,,90,86,58,106,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abril,,116,97,62,122,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mayo,,154,79,64,126,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junio,,136,104,50,127,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julio,,110,93,80,142,0,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agosto,,147,111,77,171,0,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septiembre,,113,126,56,92,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Octubre,,132,90,60,76,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noviembre,,117,76,42,65,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diciembre,,189,116,53,90,30,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mes,,CFC,JCR,JSP,DMP,DSS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enero,,40%,36%,70%,41%,,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Febrero,,32%,33%,46%,18%,,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marzo,,23%,6%,2%,7%,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abril,,0%,6%,9%,23%,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mayo,,32%,14%,12%,27%,,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junio,,17%,14%,12%,28%,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julio,,6%,2%,40%,43%,,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agosto,,26%,21%,35%,73%,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septiembre,,3%,38%,2%,7%,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Octubre,,13%,2%,5%,23%,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noviembre,,0%,17%,26%,34%,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diciembre,,62%,27%,7%,9%,,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21%,18%,22%,28%,,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
