,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,1-ene,"4,00",1,1,1,3,3,,1-feb,"7,00",16,9,0,0,2,,1-mar,"7,00",7,7,5,1,7,,1-abr,"3,00",3,4,0,0,1,,1-may,"5,00",13,12,9,8,8,,1-jun,"1,00",11,0,1,5,0,,1-jul,"3,00",4,3,3,0,0,,1-ago,"6,00",8,3,5,2,3,,1-sept,"2,00",5,1,0,2,0,,1-oct,"4,00",3,2,0,3,4,,1-nov,"7,00",7,3,0,4,5,,1-dic,"2,00",3,5,0,4,6,,,,,,,,
,2-ene,"5,00",7,0,0,4,3,,2-feb,"1,00",1,3,2,0,4,,2-mar,"1,00",7,8,2,3,2,,2-abr,"4,00",3,4,0,2,1,,2-may,"6,00",17,10,4,3,2,,2-jun,"2,00",0,9,0,0,7,,2-jul,"4,00",0,2,0,0,0,,2-ago,"7,00",8,8,6,2,1,,2-sept,"3,00",2,2,0,0,5,,2-oct,"5,00",6,4,0,0,1,,2-nov,"1,00",2,4,0,2,4,,2-dic,"3,00",0,4,0,0,1,,,,,,,,
,3-ene,"6,00",7,0,2,1,2,,3-feb,"2,00",6,1,0,4,5,,3-mar,"2,00",5,0,0,4,0,,3-abr,"5,00",3,3,2,1,3,,3-may,"7,00",10,13,2,2,3,,3-jun,"3,00",0,2,0,2,5,,3-jul,"5,00",0,3,0,0,2,,3-ago,"1,00",6,4,6,1,2,,3-sept,"4,00",0,0,0,0,3,,3-oct,"6,00",4,7,0,3,14,,3-nov,"2,00",5,3,5,5,6,,3-dic,"4,00",0,5,0,0,1,,,,,,,,
,4-ene,"7,00",2,4,0,5,3,,4-feb,"3,00",0,3,0,0,0,,4-mar,"3,00",3,5,3,0,1,,4-abr,"6,00",9,7,8,10,3,,4-may,"1,00",4,0,0,2,1,,4-jun,"4,00",0,6,2,0,0,,4-jul,"6,00",8,6,0,1,0,,4-ago,"2,00",4,6,8,3,3,,4-sept,"5,00",3,1,0,2,3,,4-oct,"7,00",10,6,0,6,8,,4-nov,"3,00",0,4,0,0,2,,4-dic,"5,00",0,3,9,1,2,,,,,,,,
,5-ene,"1,00",7,0,2,8,1,,5-feb,"4,00",2,2,1,1,2,,5-mar,"4,00",3,0,0,1,0,,5-abr,"7,00",15,7,13,11,4,,5-may,"2,00",0,0,0,1,1,,5-jun,"5,00",0,3,4,1,1,,5-jul,"7,00",15,4,9,1,8,,5-ago,"3,00",7,4,8,2,1,,5-sept,"6,00",11,6,0,1,4,,5-oct,"1,00",2,3,0,1,3,,5-nov,"4,00",2,2,0,0,2,,5-dic,"6,00",3,6,0,1,3,,,,,,,,
,6-ene,"2,00",8,0,2,1,4,,6-feb,"5,00",5,2,1,2,0,,6-mar,"5,00",3,3,3,4,0,,6-abr,"1,00",2,5,1,0,0,,6-may,"3,00",6,3,0,2,3,,6-jun,"6,00",3,1,2,2,1,,6-jul,"1,00",9,5,0,2,0,,6-ago,"4,00",7,4,5,2,0,,6-sept,"7,00",5,15,0,0,6,,6-oct,"2,00",0,0,0,0,1,,6-nov,"5,00",5,0,0,0,1,,6-dic,"7,00",6,4,0,3,4,,,,,,,,
,7-ene,"3,00",3,0,0,0,3,,7-feb,"6,00",3,7,0,1,4,,7-mar,"6,00",6,5,3,0,4,,7-abr,"2,00",2,0,4,3,2,,7-may,"4,00",3,0,0,3,2,,7-jun,"7,00",15,14,4,0,4,,7-jul,"2,00",0,2,4,1,0,,7-ago,"5,00",10,7,9,1,2,,7-sept,"1,00",9,7,0,0,4,,7-oct,"3,00",0,5,0,0,2,,7-nov,"6,00",2,5,2,2,5,,7-dic,"1,00",5,3,1,3,3,,,,,,,,
,8-ene,"4,00",2,1,0,1,2,,8-feb,"7,00",7,5,1,5,3,,8-mar,"7,00",9,4,2,3,2,,8-abr,"3,00",4,9,2,6,2,,8-may,"5,00",15,3,0,0,10,,8-jun,"1,00",10,1,4,3,3,,8-jul,"3,00",0,1,4,1,0,,8-ago,"6,00",8,3,11,1,3,,8-sept,"2,00",0,0,0,0,1,,8-oct,"4,00",5,1,0,2,7,,8-nov,"7,00",6,5,2,2,1,,8-dic,"2,00",3,3,3,0,6,,,,,,,,
,9-ene,"5,00",1,4,1,9,2,,9-feb,"1,00",5,3,5,0,4,,9-mar,"1,00",5,8,4,14,3,,9-abr,"4,00",8,0,0,0,0,,9-may,"6,00",13,5,0,0,0,,9-jun,"2,00",0,0,0,0,1,,9-jul,"4,00",0,3,6,0,0,,9-ago,"7,00",6,4,6,2,2,,9-sept,"3,00",0,0,0,1,2,,9-oct,"5,00",3,4,0,0,1,,9-nov,"1,00",6,6,2,1,5,,9-dic,"3,00",0,4,0,1,0,,,,,,,,
,10-ene,"6,00",3,3,0,0,3,,10-feb,"2,00",5,0,0,0,1,,10-mar,"2,00",0,0,1,0,1,,10-abr,"5,00",6,4,2,6,11,,10-may,"7,00",20,9,0,3,3,,10-jun,"3,00",0,0,0,0,2,,10-jul,"5,00",0,2,0,0,2,,10-ago,"1,00",8,2,8,3,2,,10-sept,"4,00",6,2,0,4,6,,10-oct,"6,00",7,4,0,1,3,,10-nov,"2,00",2,2,0,2,5,,10-dic,"4,00",0,3,6,0,2,,,,,,,,
,11-ene,"7,00",10,3,1,7,8,,11-feb,"3,00",7,4,5,1,2,,11-mar,"3,00",1,0,0,0,1,,11-abr,"6,00",4,3,5,1,0,,11-may,"1,00",1,4,5,4,5,,11-jun,"4,00",0,0,3,0,0,,11-jul,"6,00",7,4,6,5,0,,11-ago,"2,00",6,3,15,1,12,,11-sept,"5,00",0,0,0,1,10,,11-oct,"7,00",8,6,0,6,7,,11-nov,"3,00",1,3,0,0,4,,11-dic,"5,00",0,5,0,1,3,,,,,,,,
,12-ene,"1,00",1,0,0,0,2,,12-feb,"4,00",7,0,0,3,1,,12-mar,"4,00",6,8,6,0,4,,12-abr,"7,00",8,3,2,4,3,,12-may,"2,00",4,2,0,1,2,,12-jun,"5,00",14,6,1,3,0,,12-jul,"7,00",11,5,0,3,5,,12-ago,"3,00",6,1,8,2,7,,12-sept,"6,00",5,6,0,1,0,,12-oct,"1,00",3,5,0,0,2,,12-nov,"4,00",2,0,5,2,6,,12-dic,"6,00",3,0,0,0,7,,,,,,,,
,13-ene,"2,00",1,0,1,0,1,,13-feb,"5,00",5,1,0,2,6,,13-mar,"5,00",6,3,1,2,11,,13-abr,"1,00",10,6,3,4,15,,13-may,"3,00",3,4,1,2,10,,13-jun,"6,00",15,8,1,5,0,,13-jul,"1,00",0,8,1,0,0,,13-ago,"4,00",5,3,4,1,1,,13-sept,"7,00",4,12,0,4,0,,13-oct,"2,00",0,0,0,1,0,,13-nov,"5,00",3,6,0,5,2,,13-dic,"7,00",2,0,3,2,2,,,,,,,,
