,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,14-ene,"3,00",4,5,0,0,2,,14-feb,"6,00",5,6,2,0,1,,14-mar,"6,00",3,7,5,3,2,,14-abr,"2,00",4,0,0,5,0,,14-may,"4,00",8,4,0,0,0,,14-jun,"7,00",19,8,5,7,8,,14-jul,"2,00",0,6,0,0,0,,14-ago,"5,00",8,7,11,3,3,,14-sept,"1,00",10,2,0,2,1,,14-oct,"3,00",5,4,0,4,5,,14-nov,"6,00",5,5,0,0,2,,14-dic,"1,00",0,2,2,0,3,,,,,,,,
,15-ene,"4,00",7,0,1,2,6,,15-feb,"7,00",4,8,4,4,6,,15-mar,"7,00",10,11,3,6,6,,15-abr,"3,00",5,3,2,1,0,,15-may,"5,00",11,3,10,5,3,,15-jun,"1,00",0,6,1,3,0,,15-jul,"3,00",6,0,8,4,4,,15-ago,"6,00",3,3,5,1,3,,15-sept,"2,00",0,3,0,2,0,,15-oct,"4,00",0,1,0,0,2,,15-nov,"7,00",5,2,2,8,8,,15-dic,"2,00",0,3,0,0,2,,,,,,,,
,16-ene,"5,00",2,2,0,2,2,,16-feb,"1,00",8,4,2,0,3,,16-mar,"1,00",5,0,5,5,2,,16-abr,"4,00",4,5,5,7,3,,16-may,"6,00",12,5,9,28,2,,16-jun,"2,00",0,3,0,0,0,,16-jul,"4,00",0,3,5,0,0,,16-ago,"7,00",8,5,6,2,5,,16-sept,"3,00",0,1,0,0,2,,16-oct,"5,00",0,3,0,2,6,,16-nov,"1,00",9,3,6,9,5,,16-dic,"3,00",0,1,0,0,2,,,,Days so far,365,,,
,17-ene,"6,00",2,5,1,2,0,,17-feb,"2,00",2,0,2,1,0,,17-mar,"2,00",0,1,0,2,2,,17-abr,"5,00",8,4,6,0,3,,17-may,"7,00",14,12,15,7,4,,17-jun,"3,00",2,2,3,2,2,,17-jul,"5,00",0,3,5,0,0,,17-ago,"1,00",4,8,12,3,6,,17-sept,"4,00",6,7,0,3,6,,17-oct,"6,00",3,3,0,2,0,,17-nov,"2,00",0,0,0,0,1,,17-dic,"4,00",4,4,6,6,8,,,,Days to go,0,,,
,18-ene,"7,00",7,8,3,4,6,,18-feb,"3,00",2,3,0,1,2,,18-mar,"3,00",1,0,1,4,1,,18-abr,"6,00",11,3,5,3,0,,18-may,"1,00",2,6,0,0,3,,18-jun,"4,00",1,0,3,0,1,,18-jul,"6,00",8,5,6,1,0,,18-ago,"2,00",17,3,0,5,9,,18-sept,"5,00",0,4,0,1,0,,18-oct,"7,00",7,4,0,7,0,,18-nov,"3,00",3,2,1,1,2,,18-dic,"5,00",0,4,0,0,1,,,,,,,,
,19-ene,"1,00",6,1,0,4,2,,19-feb,"4,00",5,4,3,0,0,,19-mar,"4,00",9,3,6,2,6,,19-abr,"7,00",7,4,4,0,1,,19-may,"2,00",2,0,0,0,1,,19-jun,"5,00",5,2,4,1,1,,19-jul,"7,00",12,8,14,7,5,,19-ago,"3,00",0,5,7,2,11,,19-sept,"6,00",4,12,0,7,0,,19-oct,"1,00",3,5,0,0,5,,19-nov,"4,00",5,7,10,2,6,,19-dic,"6,00",2,15,0,0,1,,,,,,,,
,20-ene,"2,00",3,0,1,0,2,,20-feb,"5,00",3,1,0,2,1,,20-mar,"5,00",4,5,3,2,2,,20-abr,"1,00",5,3,2,0,3,,20-may,"3,00",3,1,0,0,1,,20-jun,"6,00",13,14,8,1,11,,20-jul,"1,00",7,6,0,3,1,,20-ago,"4,00",0,2,0,3,10,,20-sept,"7,00",6,10,0,13,3,,20-oct,"2,00",0,4,0,0,0,,20-nov,"5,00",0,3,0,1,0,,20-dic,"7,00",4,3,4,5,3,,,,,,,,
,21-ene,"3,00",3,1,0,0,2,,21-feb,"6,00",4,1,1,2,3,,21-mar,"6,00",8,5,3,4,5,,21-abr,"2,00",6,5,0,1,2,,21-may,"4,00",3,2,0,0,0,,21-jun,"7,00",5,4,18,9,11,,21-jul,"2,00",0,5,7,0,4,,21-ago,"5,00",6,0,8,2,10,,21-sept,"1,00",4,1,0,0,8,,21-oct,"3,00",3,2,0,3,1,,21-nov,"6,00",9,7,1,5,0,,21-dic,"1,00",4,1,3,0,4,,,,,,,,
,22-ene,"4,00",3,4,0,5,2,,22-feb,"7,00",6,7,3,2,6,,22-mar,"7,00",10,6,5,4,6,,22-abr,"3,00",0,2,1,2,0,,22-may,"5,00",9,6,0,0,1,,22-jun,"1,00",2,2,3,0,4,,22-jul,"3,00",0,2,4,0,0,,22-ago,"6,00",1,5,8,6,11,,22-sept,"2,00",2,2,0,2,2,,22-oct,"4,00",3,3,0,1,1,,22-nov,"7,00",9,8,4,3,6,,22-dic,"2,00",1,3,0,0,2,,,,1000,1000,500,500,500
,23-ene,"5,00",3,4,2,6,2,,23-feb,"1,00",10,5,5,6,3,,23-mar,"1,00",6,5,2,5,5,,23-abr,"4,00",4,4,1,2,2,,23-may,"6,00",12,2,1,0,1,,23-jun,"2,00",0,0,3,0,1,,23-jul,"4,00",4,1,5,1,0,,23-ago,"7,00",5,5,15,4,10,,23-sept,"3,00",0,2,0,0,0,,23-oct,"5,00",3,0,0,1,0,,23-nov,"1,00",5,8,0,2,6,,23-dic,"3,00",3,3,7,0,4,,,,2/08/2025,19/09/2025,24/07/2025,11/08/2025,22/06/2025
,24-ene,"6,00",3,1,1,12,5,,24-feb,"2,00",0,3,0,1,0,,24-mar,"2,00",4,1,2,0,2,,24-abr,"5,00",4,10,1,2,1,,24-may,"7,00",8,9,4,1,7,,24-jun,"3,00",2,3,0,2,2,,24-jul,"5,00",0,2,4,0,0,,24-ago,"1,00",4,6,0,7,4,,24-sept,"4,00",0,2,0,0,0,,24-oct,"6,00",3,4,0,5,0,,24-nov,"2,00",0,1,4,0,6,,24-dic,"4,00",9,7,0,4,5,,,,1500,1250,750,750,750
,25-ene,"7,00",9,10,3,12,4,,25-feb,"3,00",2,2,2,3,3,,25-mar,"3,00",2,2,2,0,0,,25-abr,"6,00",4,11,1,1,0,,25-may,"1,00",11,6,5,2,6,,25-jun,"4,00",5,2,2,1,3,,25-jul,"6,00",3,3,3,5,1,,25-ago,"2,00",8,2,0,2,8,,25-sept,"5,00",5,0,0,1,2,,25-oct,"7,00",8,7,0,2,3,,25-nov,"3,00",0,4,0,0,1,,25-dic,"5,00",7,5,7,7,4,,,,16/11/2025,23/11/2025,2/11/2025,30/11/2025,15/9/2025
,26-ene,"1,00",4,3,2,3,3,,26-feb,"4,00",3,5,4,3,0,,26-mar,"4,00",3,2,0,0,0,,26-abr,"7,00",7,8,5,2,4,,26-may,"2,00",7,0,0,0,0,,26-jun,"5,00",0,10,4,3,2,,26-jul,"7,00",5,2,5,5,3,,26-ago,"3,00",9,4,11,3,8,,26-sept,"6,00",5,1,0,2,0,,26-oct,"1,00",3,4,0,3,6,,26-nov,"4,00",0,2,3,2,2,,26-dic,"6,00",4,2,0,0,3,,,,1750,1500,900,900,1000
,27-ene,"2,00",3,1,0,0,2,,27-feb,"5,00",6,5,1,1,5,,27-mar,"5,00",1,3,2,4,0,,27-abr,"1,00",11,1,2,1,3,,27-may,"3,00",7,9,0,2,2,,27-jun,"6,00",4,13,5,10,3,,27-jul,"1,00",5,7,0,2,3,,27-ago,"4,00",1,3,13,5,6,,27-sept,"7,00",10,5,0,2,3,,27-oct,"2,00",2,2,0,2,3,,27-nov,"5,00",9,2,1,3,4,,27-dic,"7,00",5,13,6,2,1,,,,8/1/2026,28/1/2026,2/1/2026,5/2/2026,10/12/2025
,28-ene,"3,00",6,2,0,0,4,,28-feb,"6,00",5,4,1,3,1,,28-mar,"6,00",7,2,3,2,4,,28-abr,"2,00",3,3,0,1,2,,28-may,"4,00",0,0,3,2,4,,28-jun,"7,00",12,18,7,8,4,,28-jul,"2,00",5,4,6,1,1,,28-ago,"5,00",2,1,12,1,4,,28-sept,"1,00",5,4,0,0,7,,28-oct,"3,00",4,2,0,4,5,,28-nov,"6,00",4,6,3,0,1,,28-dic,"1,00",0,3,0,0,0,,,,,,,,
,29-ene,"4,00",2,0,0,1,2,,,,,,,,,,29-mar,"7,00",15,8,4,1,6,,29-abr,"3,00",3,0,0,1,1,,29-may,"5,00",0,2,4,1,2,,29-jun,"1,00",8,4,0,1,2,,29-jul,"3,00",4,2,5,3,4,,29-ago,"6,00",5,4,11,6,5,,29-sept,"2,00",0,3,0,0,1,,29-oct,"4,00",1,3,0,0,2,,29-nov,"7,00",9,5,3,4,0,,29-dic,"2,00",5,7,0,3,0,,,,CFC,JCR,JSP,DMP,DSS
,30-ene,"5,00",7,3,1,0,3,,,,,,,,,,30-mar,"1,00",2,6,2,3,6,,30-abr,"4,00",7,0,0,4,2,,30-may,"6,00",7,4,4,4,2,,30-jun,"2,00",0,0,5,0,1,,30-jul,"4,00",5,4,6,4,0,,30-ago,"7,00",8,6,15,8,0,,30-sept,"3,00",0,5,0,0,0,,30-oct,"5,00",2,5,0,0,1,,30-nov,"1,00",11,8,0,1,3,,30-dic,"3,00",0,2,10,1,6,,Total,5.909,1720,1400,900,823,1066
,31-ene,"6,00",18,5,1,0,7,,,,,,,,,,31-mar,"2,00",0,0,3,3,0,,,,,,,,,,31-may,"7,00",20,4,3,5,2,,,,,,,,,,31-jul,"5,00",5,2,7,4,4,,31-ago,"1,00",4,5,13,1,1,,,,,,,,,,31-oct,"6,00",6,9,0,2,2,,,7,,,,,,,31-dic,"4,00",11,5,9,0,7,,Media,"16,19","4,71","3,84","2,47","2,25","2,92"
,Total,,145,71,26,92,93,,Total,,134,98,45,48,68,,Total,,151,118,81,82,91,,Total,,170,121,77,81,72,,Total,,245,140,79,88,91,,Total,,146,141,93,69,80,,Total,,123,113,123,54,47,,Total,,182,126,246,87,153,,Total,,107,116,0,51,79,,Total,,107,112,0,61,95,,Total,,126,116,54,66,101,,Total,,84,128,76,44,96,,,,"29,11%","23,69%","15,23%","13,93%","18,04%"
,Media,,"4,68","2,29","0,84","2,97",3,,Media,,"4,62","3,38","1,55","1,66","2,34",,Media,,"4,87","3,81","2,61","2,65","2,94",,Media,,"5,67","4,03","2,57","2,7","2,4",,Media,,"7,9","4,52","2,55","2,84","2,94",,Media,,"4,87","4,7","3,1","2,3","2,67",,Media,,"3,97","3,65","3,97","1,74","1,52",,Media,,"5,87","4,06","7,94","2,81","4,94",,Media,,"3,57","3,87",0,"1,7","2,63",,Media,,"3,45","3,61",0,"1,97","3,06",,Media,,"4,06","3,74","1,74","2,13","3,26",,Media,,"2,71","4,13","2,45","1,42","3,1",,Progresión,,"1719,15","1401,6","901,55","821,25","1065,8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lunes,,15,1,4,1,9,,Lunes,,13,4,2,6,6,,Lunes,,9,2,6,9,5,,Lunes,,15,8,4,10,6,,Lunes,,13,2,0,2,4,,Lunes,,0,12,8,0,10,,Lunes,,5,17,17,2,5,,Lunes,,35,14,23,11,32,,Lunes,,7,9,0,6,4,,Lunes,,2,6,0,3,4,,Lunes,,7,6,9,7,18,,Lunes,,12,21,3,7,16,,Lunes,494,133,102,76,64,119
,Ø Lunes,,"3,75","0,25",1,"0,25","2,25",,Ø Lunes,,"3,25",1,"0,5","1,5","1,5",,Ø Lunes,,"1,8","0,4","1,2","1,8",1,,Ø Lunes,,"3,75",2,1,"2,5","1,5",,Ø Lunes,,"3,25","0,5",0,"0,5",1,,Ø Lunes,,0,"2,4","1,6",0,2,,Ø Lunes,,"1,25","4,25","4,25","0,5","1,25",,Ø Lunes,,"8,75","3,5","5,75","2,75",8,,Ø Lunes,,"1,4","1,8",0,"1,2","0,8",,Ø Lunes,,"0,5","1,5",0,"0,75",1,,Ø Lunes,,"1,75","1,5","2,25","1,75","4,5",,Ø Lunes,,"2,4","4,2","0,6","1,4","3,2",,Ø Lunes,"947,00%","2,55","1,96","1,46","1,23","2,28"
,% Lunes,,"10,3%","1,4%","15,4%","1,1%","9,7%",,% Lunes,,"9,7%","4,1%","4,4%","12,5%","8,8%",,% Lunes,,"6,0%","1,7%","7,4%","11,0%","5,5%",,% Lunes,,"8,8%","6,6%","5,2%","12,3%","8,3%",,% Lunes,,"5,3%","1,4%","0,0%","2,3%","4,4%",,% Lunes,,"0,0%","8,5%","8,6%","0,0%","12,5%",,% Lunes,,"4,1%","15,0%","13,8%","3,7%","10,6%",,% Lunes,,"19,2%","11,1%","9,3%","12,6%","20,9%",,% Lunes,,"6,5%","7,8%",,"11,8%","5,1%",,% Lunes,,"1,9%","5,4%",,"4,9%","4,2%",,% Lunes,,"5,6%","5,2%","16,7%","10,6%","17,8%",,% Lunes,,"14,3%","16,4%","3,9%","15,9%","16,7%",,% Lunes,"8,4%","7,7%","7,3%","8,4%","7,8%","11,2%"
,% liderazgo,,"50,0%","3,3%","13,3%","3,3%","30,0%",,% liderazgo,,"41,9%","12,9%","6,5%","19,4%","19,4%",,% liderazgo,,"29,0%","6,5%","19,4%","29,0%","16,1%",,% liderazgo,,"20,3%","10,8%","5,4%","13,5%","8,1%",,% liderazgo,,"17,6%","2,7%","0,0%","2,7%","5,4%",,% liderazgo,,"0,0%","16,2%","10,8%","0,0%","13,5%",,% liderazgo,,"6,8%","23,0%","23,0%","2,7%","6,8%",,% liderazgo,,"47,3%","18,9%","31,1%","14,9%","43,2%",,% liderazgo,,"9,5%","12,2%","0,0%","8,1%","5,4%",,% liderazgo,,"2,7%","8,1%","0,0%","4,1%","5,4%",,% liderazgo,,"9,5%","8,1%","12,2%","9,5%","24,3%",,% liderazgo,,"16,2%","28,4%","4,1%","9,5%","21,6%",,% liderazgo,"100,0%","26,9%","20,6%","15,4%","13,0%","24,1%"
,Martes,,16,8,0,0,11,,Martes,,11,12,7,5,7,,Martes,,7,7,6,4,3,,Martes,,15,18,5,10,4,,Martes,,19,17,1,6,16,,Martes,,4,7,3,6,11,,Martes,,14,8,24,8,8,,Martes,,22,14,34,9,27,,Martes,,2,10,0,1,9,,Martes,,12,13,0,11,13,,Martes,,4,13,1,1,9,,Martes,,3,14,17,2,13,,Martes,562,129,141,98,63,131
,Ø Martes,,4,2,0,0,"2,75",,Ø Martes,,"2,75",3,"1,75","1,25","1,75",,Ø Martes,,"1,75","1,75","1,5",1,"0,75",,Ø Martes,,3,"3,6",1,2,"0,8",,Ø Martes,,"4,75","4,25","0,25","1,5",4,,Ø Martes,,1,"1,75","0,75","1,5","2,75",,Ø Martes,,"2,8","1,6","4,8","1,6","1,6",,Ø Martes,,"5,5","3,5","8,5","2,25","6,75",,Ø Martes,,"0,4",2,0,"0,2","1,8",,Ø Martes,,3,"3,25",0,"2,75","3,25",,Ø Martes,,1,"3,25","0,25","0,25","2,25",,Ø Martes,,"0,6","2,8","3,4","0,4","2,6",,Ø Martes,"1078,00%","2,47","2,70","1,88","1,21","2,51"
,% Martes,,"11,0%","11,3%","0,0%","0,0%","11,8%",,% Martes,,"8,2%","12,2%","15,6%","10,4%","10,3%",,% Martes,,"4,6%","5,9%","7,4%","4,9%","3,3%",,% Martes,,"8,8%","14,9%","6,5%","12,3%","5,6%",,% Martes,,"7,8%","12,1%","1,3%","6,8%","17,6%",,% Martes,,"2,7%","5,0%","3,2%","8,7%","13,8%",,% Martes,,"11,4%","7,1%","19,5%","14,8%","17,0%",,% Martes,,"12,1%","11,1%","13,8%","10,3%","17,6%",,% Martes,,"1,9%","8,6%",,"2,0%","11,4%",,% Martes,,"11,2%","11,6%",,"18,0%","13,7%",,% Martes,,"3,2%","11,2%","1,9%","1,5%","8,9%",,% Martes,,"3,6%","10,9%","22,4%","4,5%","13,5%",,% Martes,"9,5%","7,5%","10,1%","10,9%","7,7%","12,3%"
,% liderazgo,,"45,7%","22,9%","0,0%","0,0%","31,4%",,% liderazgo,,"26,2%","28,6%","16,7%","11,9%","16,7%",,% liderazgo,,"25,9%","25,9%","22,2%","14,8%","11,1%",,% liderazgo,,"19,0%","22,8%","6,3%","12,7%","5,1%",,% liderazgo,,"24,1%","21,5%","1,3%","7,6%","20,3%",,% liderazgo,,"5,1%","8,9%","3,8%","7,6%","13,9%",,% liderazgo,,"17,7%","10,1%","30,4%","10,1%","10,1%",,% liderazgo,,"27,8%","17,7%","43,0%","11,4%","34,2%",,% liderazgo,,"2,5%","12,7%","0,0%","1,3%","11,4%",,% liderazgo,,"15,2%","16,5%","0,0%","13,9%","16,5%",,% liderazgo,,"5,1%","16,5%","1,3%","1,3%","11,4%",,% liderazgo,,"3,8%","17,7%","21,5%","2,5%","16,5%",,% liderazgo,"100,0%","23,0%","25,1%","17,4%","11,2%","23,3%"
,Miércoles,,15,6,2,12,15,,Miércoles,,17,11,8,7,3,,Miércoles,,21,13,12,3,10,,Miércoles,,26,13,6,15,8,,Miércoles,,14,6,3,5,6,,Miércoles,,6,8,10,1,4,,Miércoles,,9,13,22,5,0,,Miércoles,,13,12,22,11,17,,Miércoles,,12,11,0,7,15,,Miércoles,,12,10,0,6,16,,Miércoles,,9,11,18,6,16,,Miércoles,,24,24,21,10,23,,Miércoles,661,178,138,124,88,133
,Ø Miércoles,,3,"1,2","0,4","2,4",3,,Ø Miércoles,,"4,25","2,75",2,"1,75","0,75",,Ø Miércoles,,"5,25","3,25",3,"0,75","2,5",,Ø Miércoles,,"5,2","2,6","1,2",3,"1,6",,Ø Miércoles,,"3,5","1,5","0,75","1,25","1,5",,Ø Miércoles,,"1,5",2,"2,5","0,25",1,,Ø Miércoles,,"1,8","2,6","4,4",1,0,,Ø Miércoles,,"3,25",3,"5,5","2,75","4,25",,Ø Miércoles,,3,"2,75",0,"1,75","3,75",,Ø Miércoles,,"2,4",2,0,"1,2","3,2",,Ø Miércoles,,"2,25","2,75","4,5","1,5",4,,Ø Miércoles,,"4,8","4,8","4,2",2,"4,6",,Ø Miércoles,"1268,00%","3,41","2,65","2,38","1,69","2,55"
,% Miercoles,,"10,3%","8,5%","7,7%","13,0%","16,1%",,% Miercoles,,"12,7%","11,2%","17,8%","14,6%","4,4%",,% Miercoles,,"13,9%","11,0%","14,8%","3,7%","11,0%",,% Miercoles,,"15,3%","10,7%","7,8%","18,5%","11,1%",,% Miercoles,,"5,7%","4,3%","3,8%","5,7%","6,6%",,% Miercoles,,"4,1%","5,7%","10,8%","1,4%","5,0%",,% Miercoles,,"7,3%","11,5%","17,9%","9,3%","0,0%",,% Miercoles,,"7,1%","9,5%","8,9%","12,6%","11,1%",,% Miercoles,,"11,2%","9,5%",,"13,7%","19,0%",,% Miercoles,,"11,2%","8,9%",,"9,8%","16,8%",,% Miercoles,,"7,1%","9,5%","33,3%","9,1%","15,8%",,% Miercoles,,"28,6%","18,8%","27,6%","22,7%","24,0%",,% Miercoles,"11,2%","10,3%","9,9%","13,8%","10,7%","12,5%"
